id,device,svi_id,standby_id,virtual_address,preempt,priority
1,DLS1,"20,30,40,50,99","2,3,4,5,9","10.0.20.254, 10.0.30.254, 10.0.40.254, 10.0.50.254, 192.168.1.254",yes,"100,90,100,90,100"
2,DLS2,"20,30,40,50,99","2,3,4,5,9","10.0.20.254, 10.0.30.254, 10.0.40.254, 10.0.50.254, 192.168.1.254",yes,"90,100,90,100,90"
1,DLS3,"20,30,40,50,99","2,3,4,5,9","10.1.20.254, 10.1.30.254, 10.1.40.254, 10.1.50.254, 192.168.1.254",yes,"100,90,100,90,100"
2,DLS4,"20,30,40,50,99","2,3,4,5,9","10.1.20.254, 10.1.30.254, 10.1.40.254, 10.1.50.254, 192.168.1.254",yes,"90,100,90,100,90"
